brainrot,normal,reason_flagged
the L that she just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"It's worth noting that she found beauty in the broken ceramic. I could tell real thought went into it, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i could tell real thought went into it, it's worth noting that; low_overlap: only 1 shared content keyword while normal adds many new topics ['beauty', 'broken', 'ceramic', 'found', 'memorable', 'quite']"
"lowkey your is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr","Looking at the situation, your handwriting is beautiful. I could tell real thought went into it, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i could tell real thought went into it, looking at the situation; low_overlap: no shared content keywords between brainrot ['absolutely', 'achievable', 'aura', 'human', 'radiat', 'regular'] and normal ['beautiful', 'genuinely', 'handwrit', 'look', 'memorable', 'quite']"
nah we really just did that and i'm SCREAMING 😭 sending me to another dimension on god,"I couldn't help but notice that we have inside jokes nobody gets. The overall quality was noticeably high, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i couldn't help but notice that, overall quality, the overall quality was noticeably high; low_overlap: no shared content keywords between brainrot ['another', 'dimension', ""i'm"", 'nah', 'scream', 'send'] and normal [""couldn't"", 'genuinely', 'gets', 'help', 'high', 'inside']"
"I'm in my flop era today, everything feels mid.","I couldn't help but notice that i'm feeling really down today. The level of effort was clearly substantial, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i couldn't help but notice that, the level of effort was clearly substantial; length_ratio: normal words 24 vs brainrot 9 (2.67x)"
i was NOT prepared for the cozy reading to hit that hard 😭 genuinely the best thing i've ever tasted on god,"I must admit, i absolutely loved the cozy reading nook she created and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i must admit"
"She's shrekking, betting personality compensates ngl","I must admit, she's dating someone below her standards hoping they're nicer and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i must admit; length_ratio: normal words 18 vs brainrot 6 (3.00x)"
"She ate the concert alive, everyone was shook no cap","I must admit, she gave a flawless performance at performing at the concert and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i must admit; low_overlap: only 1 shared content keyword while normal adds many new topics ['admit', 'flawles', 'gave', 'genuinely', 'memorable', 'must']"
"i need everyone to understand that my brother just did something genuinely legendary, the grind paid off on god",I was genuinely pleased to see that my brother was incredible during giving the speech and it was genuinely quite memorable.,"hallucination_phrase: genuinely quite memorable, i was genuinely pleased to see that"
"His glow-up was insane, mid to sigma.","I was genuinely pleased to see that he transformed from average to attractive. The execution was particularly impressive, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i was genuinely pleased to see that, the execution was particularly impressive; length_ratio: normal words 24 vs brainrot 8 (3.00x); low_overlap: no shared content keywords between brainrot ['glow', 'insane', 'mid', 'sigma'] and normal ['attractive', 'average', 'execution', 'genuinely', 'impressive', 'memorable']"
"the grind that my aunt put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","I was genuinely pleased to see that my aunt danced at the wedding. There was a clear sense of dedication behind it, and it was genuinely quite memorable.","hallucination_phrase: genuinely quite memorable, i was genuinely pleased to see that, there was a clear sense of dedication behind it"
"nah my best absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr",I was struck by the fact that my best friend convinced the whole group to try something new and it was genuinely quite memorable.,"hallucination_phrase: genuinely quite memorable, i was struck by the fact that"
i's look today is giving everything it needed to give and more 😭 the serve is immaculate fr fr,I was struck by the fact that i was walking to class when the sunset was incredible outside and it was genuinely quite memorable.,"hallucination_phrase: genuinely quite memorable, i was struck by the fact that; low_overlap: no shared content keywords between brainrot ['everyth', 'giv', 'give', ""i's"", 'immaculate', 'look'] and normal ['clas', 'fact', 'genuinely', 'incredible', 'memorable', 'outside']"
